2009-07-27 297469
2009-07-28 298684
2009-07-29 299441
2009-07-30 300580
2009-07-31 301637
2009-08-01 301637
2009-08-02 301637
2009-08-03 305773
2009-08-04 305849
2009-08-05 306559
2009-08-06 307262
2009-08-07 307818
2009-08-08 307818
2009-08-09 307818
2009-08-10 308773
2009-08-11 309087
2009-08-12 309174
2009-08-13 309387
2009-08-14 309896
2009-08-15 309896
2009-08-16 309896
2009-08-17 309587
2009-08-18 310060
2009-08-19 310004
2009-08-20 310616
2009-08-21 311329
2009-08-22 311329
2009-08-23 311329
2009-08-24 311455
2009-08-25 313324
2009-08-26 316780
2009-08-27 318196
2009-08-28 318400
2009-08-31 319052
2009-09-01 319765
2009-09-02 322407
2009-09-03 325767
2009-09-04 328525
2009-09-05 328680
2009-09-06 328680
2009-09-07 328680
2009-09-08 328685
2009-09-09 331077
2009-09-10 337818
2009-09-11 338171
2009-09-12 338171
2009-09-13 338171
2009-09-14 339143
2009-09-15 339726
2009-09-16 341034
2009-09-17 341155
2009-09-18 342287
2009-09-19 342343
2009-09-20 342343
2009-09-21 342343
2009-09-22 344311
2009-09-23 345300
2009-09-24 345509
2009-09-25 346305
2009-09-26 346305
2009-09-27 346305
2009-09-28 346421
2009-09-29 347210
2009-09-30 348868
2009-10-01 349206
2009-10-02 352616
2009-10-03 352673
2009-10-04 352673
2009-10-06 353555
2009-10-07 353598
2009-10-08 353815
2009-10-09 354345
2009-10-10 354412
2009-10-11 354411
2009-10-12 354427
2009-10-13 354427
2009-10-14 354729
2009-10-15 355831
2009-10-16 357439
2009-10-17 357508
2009-10-18 357506
2009-10-19 358383
2009-10-20 360002
2009-10-21 360581
2009-10-22 360854
2009-10-23 361839
2009-10-24 361919
2009-10-25 361918
2009-10-26 362381
2009-10-27 362997
2009-10-28 363523
2009-10-29 364149
2009-10-30 364853
2009-10-31 364965
2009-11-01 364968
2009-11-04 364670
2009-11-05 365625
2009-11-06 367283
2009-11-07 367252
2009-11-08 367252
2009-11-09 368769
2009-11-10 369186
2009-11-11 370627
2009-11-12 370913
2009-11-13 371500
2009-11-14 371583
2009-11-15 371583
2009-11-16 371583
2009-11-17 371938
2009-11-18 372812
2009-11-19 373845
2009-11-20 374049
2009-11-21 374143
2009-11-22 374149
2009-11-23 375953
2009-11-24 376634
2009-11-25 377582
2009-11-26 377621
2009-11-27 379466
2009-11-28 379466
2009-11-29 379466
2009-11-30 379956
2009-12-01 380499
2009-12-02 381201
2009-12-03 382154
2009-12-04 382575
2009-12-05 382575
2009-12-06 382575
2009-12-07 382984
2009-12-08 383631
2009-12-09 384265
2009-12-10 385494
2009-12-11 385534
2009-12-12 385627
2009-12-13 385627
2009-12-14 386336
2009-12-15 386565
2009-12-17 387708
2009-12-18 388311
2009-12-19 388379
2009-12-20 388379
2009-12-21 389096
2009-12-22 389579
2009-12-23 389805
2009-12-24 390139
2009-12-25 390177
2009-12-28 390217
2009-12-29 390284
2009-12-30 390584
2009-12-31 391562
2010-01-01 391666
2010-01-02 391666
2010-01-03 391666
2010-01-04 391779
2010-01-05 392165
2010-01-06 392393
2010-01-07 393186
2010-01-08 394436
2010-01-09 394483
2010-01-11 394657
2010-01-12 396651
2010-01-13 397120
2010-01-14 397455
